day,kosakata,furigana,arti,contoh1,arti_contoh1,contoh2,arti_contoh2
2,番地,ばんち,NOMOR ALAMAT,住所に番地を書いてください。,TOLONG TULIS NOMOR ALAMAT PADA ALAMAT.,番地を間違えたので、荷物が届きませんでした。,"KARENA SALAH MENULIS NOMOR ALAMAT, BARANG TIDAK SAMPAI."
2,弁償,べんしょう,PENGGANTIAN KERUGIAN,壊した物は弁償しなければなりません。,BARANG YANG DIRUSAK HARUS DIGANTI KERUGIANNYA.,店の商品を壊してしまったので、弁償しました。,"KARENA TIDAK SENGAJA MERUSAK BARANG TOKO, SAYA MEMBAYAR GANTI RUGI."
2,ベテラン,ベテラン,"BERPENGALAMAN, VETERAN",彼は介護のベテランです。,DIA ADALAH ORANG YANG BERPENGALAMAN DALAM PERAWATAN LANSIA.,ベテランの先生に仕事を教えてもらいました。,SAYA DIAJARI PEKERJAAN OLEH GURU YANG BERPENGALAMAN.
2,美人,びじん,"WANITA CANTIK, ORANG CANTIK",彼女は学校で有名な美人でした。,DIA ADALAH WANITA CANTIK YANG TERKENAL DI SEKOLAH.,あの店員さんはとても美人ですね。,"PEGAWAI TOKO ITU SANGAT CANTIK, YA."
2,便箋,びんせん,KERTAS SURAT,便箋に手紙を書きました。,SAYA MENULIS SURAT DI KERTAS SURAT.,きれいな便箋を買って、友達に手紙を書きました。,SAYA MEMBELI KERTAS SURAT YANG INDAH DAN MENULIS SURAT UNTUK TEMAN.
2,びしょびしょ,びしょびしょ,BASAH KUYUP,雨に降られて、服がびしょびしょになりました。,"KARENA KEHUJANAN, PAKAIAN SAYA MENJADI BASAH KUYUP.",傘を忘れたので、髪までびしょびしょです。,"KARENA LUPA MEMBAWA PAYUNG, BAHKAN RAMBUT SAYA BASAH KUYUP."
2,墓穴,ぼけつ,LIANG KUBUR,墓穴を掘る作業を手伝いました。,SAYA MEMBANTU PEKERJAAN MENGGALI LIANG KUBUR.,墓穴は思ったより深かったです。,LIANG KUBURNYA LEBIH DALAM DARIPADA YANG SAYA KIRA.
2,募金,ぼきん,DANA BANTUAN / DONASI,災害にあった人のために募金しました。,SAYA MENYUMBANG UNTUK ORANG-ORANG YANG TERKENA BENCANA.,駅の前で募金活動をしています。,ADA KEGIATAN PENGGALANGAN DANA DI DEPAN STASIUN.
2,牧畜,ぼくちく,PETERNAKAN,この地域では牧畜が盛んです。,PETERNAKAN BERKEMBANG PESAT DI DAERAH INI.,牧畜を仕事にしている人が多いです。,BANYAK ORANG YANG MENJADIKAN PETERNAKAN SEBAGAI PEKERJAAN.
2,ボーナス,ボーナス,BONUS,今年は会社からボーナスをもらいました。,TAHUN INI SAYA MENDAPAT BONUS DARI PERUSAHAAN.,ボーナスで新しいパソコンを買うつもりです。,SAYA BERENCANA MEMBELI KOMPUTER BARU DENGAN BONUS.
2,募集,ぼしゅう,"PEREKRUTAN, PENERIMAAN",アルバイトを募集しています。,KAMI SEDANG MENCARI PEKERJA PARUH WAKTU.,会社が新しい社員を募集しています。,PERUSAHAAN SEDANG MEREKRUT KARYAWAN BARU.
2,棒,ぼう,TONGKAT,棒を使って箱を動かしました。,SAYA MEMINDAHKAN KOTAK DENGAN MENGGUNAKAN TONGKAT.,道に長い棒が落ちています。,ADA TONGKAT PANJANG TERGELETAK DI JALAN.
2,暴風雨,ぼうふうう,HUJAN BADAI,暴風雨のため、飛行機が遅れました。,"KARENA HUJAN BADAI, PESAWAT TERLAMBAT.",暴風雨が来る前に家に帰りましょう。,MARI PULANG SEBELUM HUJAN BADAI DATANG.
3,防犯,ぼうはん,PENCEGAHAN KRIMINALITAS,この町では防犯活動が盛んです。,KEGIATAN PENCEGAHAN KEJAHATAN AKTIF DI KOTA INI.,防犯カメラを駅の周りに設置しました。,KAMERA KEAMANAN DIPASANG DI SEKITAR STASIUN.
3,忘年会,ぼうねんかい,PESTA AKHIR TAHUN,来週、会社の忘年会があります。,MINGGU DEPAN ADA PESTA AKHIR TAHUN PERUSAHAAN.,忘年会で同僚と楽しく話しました。,SAYA BERBINCANG DENGAN MENYENANGKAN BERSAMA REKAN KERJA DI PESTA AKHIR TAHUN.
3,部分,ぶぶん,BAGIAN,この部分をもう一度読んでください。,TOLONG BACA BAGIAN INI SEKALI LAGI.,壊れた部分を新しい物に交換しました。,SAYA MENGGANTI BAGIAN YANG RUSAK DENGAN YANG BARU.
3,部長,ぶちょう,KEPALA DEPARTEMEN / GENERAL MANAGER,部長に報告してから帰りました。,SAYA PULANG SETELAH MELAPOR KEPADA KEPALA DEPARTEMEN.,新しい部長はとても親切な人です。,KEPALA DEPARTEMEN YANG BARU ADALAH ORANG YANG SANGAT BAIK.
3,無事,ぶじ,SELAMAT,家族はみんな無事です。,SEMUA KELUARGA SAYA SELAMAT.,無事に日本へ到着しました。,SAYA TIBA DI JEPANG DENGAN SELAMAT.
3,武器,ぶき,SENJATA,警察が犯人の武器を見つけました。,POLISI MENEMUKAN SENJATA MILIK PELAKU.,危険な武器を持ってはいけません。,TIDAK BOLEH MEMBAWA SENJATA BERBAHAYA.
3,物価,ぶっか,HARGA BARANG,最近、日本の物価が高くなっています。,AKHIR-AKHIR INI HARGA BARANG DI JEPANG MENJADI LEBIH MAHAL.,物価が上がると生活が大変になります。,"JIKA HARGA BARANG NAIK, KEHIDUPAN MENJADI SULIT."
3,分度器,ぶんどき,BUSUR DERAJAT,分度器を使って角度を測りました。,SAYA MENGUKUR SUDUT DENGAN MENGGUNAKAN BUSUR DERAJAT.,分度器がないので、角度を正確に測れません。,"KARENA TIDAK ADA BUSUR DERAJAT, SAYA TIDAK BISA MENGUKUR SUDUT DENGAN AKURAT."
3,文学,ぶんがく,KESUSASTRAAN,日本文学に興味があります。,SAYA TERTARIK DENGAN KESUSASTRAAN JEPANG.,大学で文学を勉強しています。,SAYA BELAJAR KESUSASTRAAN DI UNIVERSITAS.
3,文化,ぶんか,BUDAYA,日本の文化について勉強しています。,SAYA SEDANG BELAJAR TENTANG BUDAYA JEPANG.,国によって文化は大きく違います。,BUDAYA SANGAT BERBEDA TERGANTUNG PADA NEGARANYA.
3,文明,ぶんめい,PERADABAN,文明が発展すると生活も便利になります。,"JIKA PERADABAN BERKEMBANG, KEHIDUPAN JUGA MENJADI LEBIH NYAMAN.",古代文明について調べています。,SAYA SEDANG MENELITI TENTANG PERADABAN KUNO.
3,文脈,ぶんみゃく,KONTEKS,文脈から言葉の意味を考えましょう。,MARI KITA MEMAHAMI ARTI KATA DARI KONTEKSNYA.,この言葉は文脈によって意味が変わります。,ARTI KATA INI BERUBAH TERGANTUNG PADA KONTEKSNYA.
3,分布,ぶんぷ,"DISTRIBUSI, PERSEBARAN",この地域には多くの野生動物が分布しています。,BANYAK HEWAN LIAR TERSEBAR DI WILAYAH INI.,人口の分布を地図で調べました。,SAYA MEMPELAJARI PERSEBARAN PENDUDUK DENGAN PETA.
3,分析,ぶんせき,ANALISIS,データを分析して結果をまとめました。,SAYA MENGANALISIS DATA DAN MERANGKUM HASILNYA.,事故の原因を詳しく分析しています。,MEREKA SEDANG MENGANALISIS PENYEBAB KECELAKAAN SECARA RINCI.
3,分数,ぶんすう,PECAHAN,分数の計算が苦手です。,SAYA KURANG PANDAI DALAM PERHITUNGAN PECAHAN.,この問題では分数を使います。,"DALAM SOAL INI, KITA MENGGUNAKAN PECAHAN."
3,分担,ぶんたん,PEMBAGIAN TUGAS,みんなで仕事を分担しましょう。,MARI KITA MEMBAGI TUGAS DAN MENGERJAKANNYA BERSAMA.,家事を夫婦で分担しています。,KAMI MEMBAGI PEKERJAAN RUMAH TANGGA SEBAGAI SUAMI ISTRI.
3,分野,ぶんや,BIDANG,私は日本語教育の分野で働いています。,SAYA BEKERJA DI BIDANG PENDIDIKAN BAHASA JEPANG.,この分野についてもっと勉強したいです。,SAYA INGIN BELAJAR LEBIH BANYAK TENTANG BIDANG INI.
3,ぶらぶら,ぶらぶら,"BERJALAN-JALAN, BERAYUN-AYUN",休日は町をぶらぶら歩きました。,"PADA HARI LIBUR, SAYA BERJALAN-JALAN SANTAI DI KOTA.",暇だったので、一人で駅の周りをぶらぶらしました。,"KARENA SEDANG SENGGANG, SAYA BERJALAN-JALAN SENDIRIAN DI SEKITAR STASIUN."
3,物資,ぶっし,"BARANG, PERSEDIAAN",被災地に必要な物資を送りました。,KAMI MENGIRIM BARANG-BARANG YANG DIBUTUHKAN KE DAERAH TERDAMPAK BENCANA.,災害の後、食料などの物資が不足しました。,"SETELAH BENCANA, PERSEDIAAN SEPERTI MAKANAN MENJADI KURANG."
3,物質,ぶっしつ,"ZAT, MATERIAL",この物質は水に溶けやすいです。,ZAT INI MUDAH LARUT DALAM AIR.,危険な物質には触らないでください。,JANGAN MENYENTUH ZAT YANG BERBAHAYA.
4,物理学,ぶつりがく,FISIKA,兄は大学で物理学を勉強しています。,KAKAK LAKI-LAKI SAYA BELAJAR FISIKA DI UNIVERSITAS.,物理学は数学と深い関係があります。,FISIKA MEMILIKI HUBUNGAN YANG ERAT DENGAN MATEMATIKA.
4,病状,びょうじょう,KONDISI PENYAKIT,医者に病状を説明しました。,SAYA MENJELASKAN KONDISI PENYAKIT KEPADA DOKTER.,患者の病状が少しずつ良くなっています。,KONDISI PASIEN BERANGSUR-ANGSUR MEMBAIK.
4,地方,ちほう,"WILAYAH, DAERAH",地方には自然がたくさんあります。,DI DAERAH PEDESAAN TERDAPAT BANYAK ALAM.,地方で働く若者が増えています。,JUMLAH ANAK MUDA YANG BEKERJA DI DAERAH-DAERAH MENINGKAT.
4,地位,ちい,"KEDUDUKAN, POSISI",彼は会社で高い地位に就いています。,DIA MEMEGANG POSISI TINGGI DI PERUSAHAAN.,地位よりも人との信頼を大切にしています。,SAYA LEBIH MEMENTINGKAN KEPERCAYAAN DENGAN ORANG LAIN DARIPADA KEDUDUKAN.
4,地下,ちか,BAWAH TANAH,駅の地下にスーパーがあります。,ADA SUPERMARKET DI BAWAH TANAH STASIUN.,地下駐車場に車を止めました。,SAYA MEMARKIR MOBIL DI TEMPAT PARKIR BAWAH TANAH.
4,近道,ちかみち,JALAN PINTAS,駅までの近道を教えてください。,TOLONG BERITAHU SAYA JALAN PINTAS MENUJU STASIUN.,この道を通ると近道になります。,"JIKA MELEWATI JALAN INI, KITA BISA MENGAMBIL JALAN PINTAS."
4,遅刻,ちこく,TERLAMBAT,電車が遅れて会社に遅刻しました。,"KARENA KERETA TERLAMBAT, SAYA TERLAMBAT KE PERUSAHAAN.",明日は遅刻しないように早く起きます。,BESOK SAYA AKAN BANGUN LEBIH AWAL AGAR TIDAK TERLAMBAT.
4,畜産業,ちくさんぎょう,INDUSTRI PETERNAKAN,この地域では畜産業が盛んです。,INDUSTRI PETERNAKAN BERKEMBANG PESAT DI DAERAH INI.,畜産業は地域の大切な産業の一つです。,INDUSTRI PETERNAKAN ADALAH SALAH SATU INDUSTRI PENTING DI DAERAH INI.
4,地球温暖化,ちきゅうおんだんか,PEMANASAN GLOBAL,地球温暖化について考える必要があります。,KITA PERLU MEMIKIRKAN MASALAH PEMANASAN GLOBAL.,地球温暖化の影響で気温が上がっています。,SUHU MENINGKAT AKIBAT PEMANASAN GLOBAL.
4,沈殿,ちんでん,PENGENDAPAN,水の中に白い物質が沈殿しました。,ZAT BERWARNA PUTIH MENGENDAP DI DALAM AIR.,実験で沈殿ができる様子を観察しました。,KAMI MENGAMATI PROSES TERBENTUKNYA ENDAPAN DALAM EKSPERIMEN.
4,賃金,ちんぎん,"UPAH, GAJI",この会社は賃金が高いです。,UPAH DI PERUSAHAAN INI TINGGI.,賃金の上昇を求めて交渉しました。,MEREKA BERNEGOSIASI UNTUK MEMINTA KENAIKAN UPAH.
4,鎮痛剤,ちんつうざい,OBAT PEREDA NYERI,痛みが強かったので鎮痛剤を飲みました。,"KARENA RASA SAKITNYA KUAT, SAYA MINUM OBAT PEREDA NYERI.",鎮痛剤を飲む前に説明書を読んでください。,BACALAH PETUNJUK SEBELUM MINUM OBAT PEREDA NYERI.
4,地理,ちり,GEOGRAFI,地理の授業で日本の地図を見ました。,"DI PELAJARAN GEOGRAFI, KAMI MELIHAT PETA JEPANG.",日本の地理について勉強しています。,SAYA SEDANG BELAJAR TENTANG GEOGRAFI JEPANG.
4,地質,ちしつ,"GEOLOGI, KONDISI TANAH",この地域の地質を調査しています。,MEREKA SEDANG MENELITI KONDISI GEOLOGI DAERAH INI.,地質によって土地の特徴が違います。,KARAKTERISTIK TANAH BERBEDA TERGANTUNG PADA KONDISI GEOLOGINYA.
4,馳走,ちそう,"JAMUAN, HIDANGAN",昨日はご馳走をありがとうございました。,TERIMA KASIH ATAS HIDANGANNYA KEMARIN.,友達が夕食をご馳走してくれました。,TEMAN SAYA MENTRAKTIR SAYA MAKAN MALAM.
4,直角,ちょっかく,SUDUT SIKU-SIKU,この二本の線は直角に交わっています。,DUA GARIS INI BERBENTUK SUDUT SIKU-SIKU SAAT BERILANGAN.,机の角は直角になっています。,SUDUT MEJA INI MEMBENTUK SUDUT SIKU-SIKU.
4,直線,ちょくせん,GARIS LURUS,この道を直線で進んでください。,SILAKAN TERUS BERJALAN LURUS DI JALAN INI.,直線を一本引いてください。,TOLONG GAMBAR SATU GARIS LURUS.
4,直進,ちょくしん,TERUS LURUS,次の交差点まで直進してください。,SILAKAN TERUS LURUS SAMPAI PERSIMPANGAN BERIKUTNYA.,この道をそのまま直進すると駅があります。,"JIKA TERUS LURUS DI JALAN INI, ADA STASIUN."
4,超過,ちょうか,"KELEBIHAN, MELAMPAUI BATAS",制限時間を超過しました。,WAKTU YANG DIBERIKAN TELAH TERLAMPAUI.,荷物の重量が制限を超過しています。,BERAT BARANG TELAH MELEBIHI BATAS.
4,長男,ちょうなん,ANAK LAKI-LAKI TERTUA,彼は三人兄弟の長男です。,DIA ADALAH ANAK LAKI-LAKI TERTUA DARI TIGA BERSAUDARA.,長男は今年大学に入学しました。,ANAK LAKI-LAKI TERTUANYA MASUK UNIVERSITAS TAHUN INI.
5,調整,ちょうせい,"PENYESUAIAN, PENYETELAN",会議の日程を調整しています。,SAYA SEDANG MENYESUAIKAN JADWAL RAPAT.,音量を調整してください。,TOLONG ATUR VOLUME SUARANYA.
5,調節,ちょうせつ,"PENGATURAN, REGULASI",エアコンの温度を調節してください。,TOLONG ATUR SUHU AC.,明るさを調節すると見やすくなります。,"JIKA KECERAHANNYA DIATUR, AKAN LEBIH MUDAH DILIHAT."
5,長所,ちょうしょ,"KELEBIHAN, KEKUATAN",私の長所は人とすぐ仲良くなれることです。,KELEBIHAN SAYA ADALAH SAYA DAPAT DENGAN CEPAT AKRAB DENGAN ORANG LAIN.,自分の長所を面接で説明しました。,SAYA MENJELASKAN KELEBIHAN DIRI SAYA SAAT WAWANCARA.
5,頂点,ちょうてん,"PUNCAK, TITIK TERTINGGI",山の頂点から町が見えました。,"DARI PUNCAK GUNUNG, KOTA TERLIHAT.",グラフの頂点を確認してください。,TOLONG PERIKSA TITIK TERTINGGI PADA GRAFIK.
5,中断,ちゅうだん,PENGHENTIAN SEMENTARA,雨のため試合が中断されました。,PERTANDINGAN DIHENTIKAN SEMENTARA KARENA HUJAN.,電話が途中で中断してしまいました。,SAMBUNGAN TELEPON TERPUTUS DI TENGAH PERCAKAPAN.
5,中旬,ちゅうじゅん,PERTENGAHAN BULAN,来月の中旬に日本へ行きます。,SAYA AKAN PERGI KE JEPANG PADA PERTENGAHAN BULAN DEPAN.,仕事は六月中旬に終わる予定です。,PEKERJAAN DIJADWALKAN SELESAI PADA PERTENGAHAN JUNI.
5,注目,ちゅうもく,PERHATIAN,そのニュースは多くの人から注目されています。,BERITA ITU MENDAPAT BANYAK PERHATIAN DARI ORANG-ORANG.,彼の新しい作品が注目を集めています。,KARYA BARUNYA MENARIK BANYAK PERHATIAN.
5,中央分離帯,ちゅうおうぶんりたい,MEDIAN PEMISAH JALAN,中央分離帯の近くに木が植えられています。,POHON-POHON DITANAM DI DEKAT MEDIAN PEMISAH JALAN.,車が中央分離帯を越えてしまいました。,MOBIL TERSEBUT MELEWATI MEDIAN PEMISAH JALAN.
5,抽選,ちゅうせん,UNDIAN,抽選で旅行券が当たりました。,SAYA MEMENANGKAN VOUCHER PERJALANAN MELALUI UNDIAN.,人気の商品なので抽選になりました。,"KARENA PRODUKNYA POPULER, PEMBELIANNYA DILAKUKAN MELALUI UNDIAN."
5,中止,ちゅうし,"PEMBATALAN, PENGHENTIAN",雨のためイベントは中止になりました。,ACARA DIBATALKAN KARENA HUJAN.,明日の試合は中止される可能性があります。,PERTANDINGAN BESOK MUNGKIN AKAN DIBATALKAN.
5,抽象,ちゅうしょう,ABSTRAK,この絵はとても抽象的です。,LUKISAN INI SANGAT ABSTRAK.,抽象的な考えを言葉で説明するのは難しいです。,SULIT MENJELASKAN PEMIKIRAN YANG ABSTRAK DENGAN KATA-KATA.
5,大腸,だいちょう,USUS BESAR,大腸は消化器官の一つです。,USUS BESAR ADALAH SALAH SATU ORGAN PENCERNAAN.,医者から大腸の検査を勧められました。,SAYA DISARANKAN DOKTER UNTUK MELAKUKAN PEMERIKSAAN USUS BESAR.
5,台所,だいどころ,DAPUR,母は台所で料理をしています。,IBU SEDANG MEMASAK DI DAPUR.,台所をきれいに掃除しました。,SAYA MEMBERSIHKAN DAPUR DENGAN BAIK.
5,代表取締役,だいひょうとりしまりやく,"DIREKTUR PERWAKILAN, CEO",代表取締役が社員に挨拶しました。,DIREKTUR PERWAKILAN MEMBERIKAN SAMBUTAN KEPADA PARA KARYAWAN.,代表取締役が新しい計画を発表しました。,CEO MENGUMUMKAN RENCANA BARU.
5,大臣,だいじん,MENTERI,大臣が新しい政策を発表しました。,MENTERI MENGUMUMKAN KEBIJAKAN BARU.,その大臣は記者会見を行いました。,MENTERI TERSEBUT MENGADAKAN KONFERENSI PERS.
5,代理,だいり,"PERWAKILAN, PENGGANTI",今日は私が部長の代理を務めます。,HARI INI SAYA AKAN BERTUGAS SEBAGAI PENGGANTI KEPALA DEPARTEMEN.,担当者の代理として会議に出席しました。,SAYA MENGHADIRI RAPAT SEBAGAI PERWAKILAN PETUGAS YANG BERTANGGUNG JAWAB.
5,題名,だいめい,JUDUL,本の題名を教えてください。,TOLONG BERITAHU JUDUL BUKU TERSEBUT.,この映画の題名を忘れてしまいました。,SAYA LUPA JUDUL FILM INI.
5,ダイヤ／ダイヤグラム,ダイヤ／ダイヤグラム,"DIAGRAM, BAGAN JADWAL",電車のダイヤを確認しました。,SAYA MEMERIKSA JADWAL KERETA.,駅で電車のダイヤグラムを見ました。,SAYA MELIHAT DIAGRAM JADWAL KERETA DI STASIUN.
5,団地,だんち,KOMPLEKS PERUMAHAN/APARTEMEN,友達は駅の近くの団地に住んでいます。,TEMAN SAYA TINGGAL DI KOMPLEKS APARTEMEN DEKAT STASIUN.,この団地にはたくさんの家族が住んでいます。,BANYAK KELUARGA TINGGAL DI KOMPLEKS PERUMAHAN INI.
5,段階,だんかい,"TAHAP, TINGKAT",今は計画の第一段階です。,SEKARANG INI ADALAH TAHAP PERTAMA DARI RENCANA.,一つずつ段階を踏んで勉強しましょう。,MARI BELAJAR DENGAN MELALUI SETIAP TAHAP SATU PER SATU.
6,男性,だんせい,LAKI-LAKI,あの男性は私の先生です。,LAKI-LAKI ITU ADALAH GURU SAYA.,男性用のトイレは右側です。,TOILET UNTUK LAKI-LAKI ADA DI SEBELAH KANAN.
6,断定,だんてい,"PENEGASAN, KESIMPULAN PASTI",まだ証拠がないので断定できません。,"KARENA BELUM ADA BUKTI, KITA TIDAK BISA MENYIMPULKANNYA DENGAN PASTI.",その情報が正しいとは断定できません。,KITA TIDAK BISA MEMASTIKAN BAHWA INFORMASI ITU BENAR.
6,暖冬,だんとう,MUSIM DINGIN YANG HANGAT,今年は暖冬になるそうです。,KATANYA TAHUN INI MUSIM DINGIN AKAN LEBIH HANGAT.,暖冬の影響で雪が少なくなりました。,"KARENA MUSIM DINGIN YANG HANGAT, JUMLAH SALJU MENJADI LEBIH SEDIKIT."
6,出会い,であい,"PERTEMUAN, PERKENALAN",日本で素敵な人との出会いがありました。,SAYA MENDAPAT KESEMPATAN BERTEMU DENGAN ORANG YANG BAIK DI JEPANG.,新しい出会いを大切にしたいです。,SAYA INGIN MENGHARGAI SETIAP PERTEMUAN BARU.
