day,kosakata,furigana,arti,contoh1,arti_contoh1,contoh2,arti_contoh2,
1,無作法[ぶさほう],ぶさほう,tak bertata karma,人前[ひとまえ]で大声[おおごえ]で話[はな]すのは無作法[ぶさほう]です。,BERBICARA DENGAN SUARA KERAS DI DEPAN ORANG LAIN ADALAH TINDAKAN YANG TIDAK SOPAN.,食事中[しょくじちゅう]に立[た]ち歩[ある]くのは無作法[ぶさほう]です。,BERJALAN-JALAN SAAT SEDANG MAKAN ADALAH TINDAKAN YANG TIDAK SOPAN.,
1,不細工[ぶさいく],ぶさいく,"canggung, ceroboh",この絵[え]は少[すこ]し不細工[ぶさいく]ですが、私[わたし]が描[か]きました。,"GAMBAR INI AGAK JELEK, TETAPI SAYA YANG MENGGAMBARNYA.",不細工[ぶさいく]でも一生懸命[いっしょうけんめい]作[つく]りました。,"MESKIPUN HASILNYA TIDAK BAGUS, SAYA MEMBUATNYA DENGAN SUNGGUH-SUNGGUH.",
1,平等[びょうどう],びょうどう,"adil, sama rata",すべての人[ひと]は平等[びょうどう]です。,SEMUA ORANG ADALAH SETARA.,会社[かいしゃ]では男女[だんじょ]を平等[びょうどう]に扱[あつか]うべきです。,"DI PERUSAHAAN, PRIA DAN WANITA HARUS DIPERLAKUKAN SECARA SETARA.",
1,直接[ちょくせつ],ちょくせつ,langsung,私[わたし]に直接[ちょくせつ]電話[でんわ]してください。,SILAKAN HUBUNGI SAYA LANGSUNG.,彼[かれ]に直接[ちょくせつ]話[はな]したほうがいいです。,SEBAIKNYA BICARA LANGSUNG KEPADANYA.,
1,抽象的[ちゅうしょうてき],ちゅうしょうてき,abstrak,その説明[せつめい]は少[すこ]し抽象的[ちゅうしょうてき]です。,PENJELASAN ITU AGAK ABSTRAK.,抽象的[ちゅうしょうてき]な話[はなし]ではなく、具体的[ぐたいてき]に説明[せつめい]してください。,"JANGAN MENJELASKANNYA SECARA ABSTRAK, TOLONG JELASKAN SECARA SPESIFIK.",
1,大事[だいじ],だいじ,penting,家族[かぞく]との時間[じかん]はとても大事[だいじ]です。,WAKTU BERSAMA KELUARGA SANGAT PENTING.,これは私[わたし]にとって大事[だいじ]な写真[しゃしん]です。,INI ADALAH FOTO YANG BERHARGA BAGI SAYA.,
1,駄目[だめ],だめ,"payah, tidak bagus",ここで写真[しゃしん]を撮[と]っては駄目[だめ]です。,TIDAK BOLEH MEMOTRET DI SINI.,今日[きょう]はもう駄目[だめ]だと思[おも]います。,SAYA RASA HARI INI SUDAH TIDAK BISA.,
1,伝統的[でんとうてき],でんとうてき,traditional,京都[きょうと]には伝統的[でんとうてき]な建物[たてもの]が多[おお]くあります。,DI KYOTO ADA BANYAK BANGUNAN TRADISIONAL.,これは日本[にほん]の伝統的[でんとうてき]な料理[りょうり]です。,INI ADALAH MASAKAN TRADISIONAL JEPANG.,
1,でたらめ,でたらめ,"sembrono, asal-asalan",彼[かれ]のでたらめな話[はなし]を信[しん]じないでください。,JANGAN PERCAYA OMONGAN SEMBARANGANNYA.,そんなでたらめを言[い]ってはいけません。,JANGAN MENGATAKAN OMONG KOSONG SEPERTI ITU.,
1,独特[どくとく],どくとく,"khas, khusus",この料理[りょうり]には独特[どくとく]な味[あじ]があります。,MASAKAN INI MEMILIKI RASA YANG KHAS.,彼[かれ]は独特[どくとく]な考[かんが]え方[かた]をしています。,DIA MEMILIKI CARA BERPIKIR YANG UNIK.,
2,不安[ふあん],ふあん,gelisah,,,,,
2,不安定[ふあんてい],ふあんてい,tak stabil,,,,,
2,不平等[ふびょうどう],ふびょうどう,"tak adil, tak sama rata",,,,,
2,不注意[ふちゅうい],ふちゅうい,"lalai, tak berhati-hati",,,,,
2,不合理[ふごうり],ふごうり,"absurd, tak logis, irrasional",,,,,
2,不自由[ふじゆう],ふじゆう,"cacat (fisik, mental), tidak bebas",,,,,
2,不十分[ふじゅうぶん],ふじゅうぶん,"tidak mencukupi, tak memadai",,,,,
2,不可能[ふかのう],ふかのう,tidak mungkin,,,,,
2,不完全[ふかんぜん],ふかんぜん,tak sempurna,,,,,
2,不景気[ふけいき],ふけいき,"lesu, tak bergairah",,,,,
2,不潔[ふけつ],ふけつ,"kotor, dekil",,,,,
2,不規則[ふきそく],ふきそく,"tidak beraturan, irregular",,,,,
2,不幸[ふこう],ふこう,malang,,,,,
2,複雑[ふくざつ],ふくざつ,rumit,,,,,
2,不真面目[ふまじめ],ふまじめ,"tidak serius, tidak jujur",,,,,
2,不満[ふまん],ふまん,tidak puas,,,,,
2,不向[ふむ]き,ふむき,"tak pantas, tak sesuai",,,,,
2,不利[ふり],ふり,merugikan,,,,,
2,不正[ふせい],ふせい,ketidakadilan,,,,,
2,不思議[ふしぎ],ふしぎ,ajaib,,,,,
3,不自然[ふしぜん],ふしぜん,"tidak alamiah, tidak wajar",,,,,
3,不足[ふそく],ふそく,tidak mencukupi,,,,,
3,不愉快[ふゆかい],ふゆかい,tidak menyenangkan,,,,,
3,頑固[がんこ],がんこ,keras kepala,,,,,
3,下品[げひん],げひん,"vulgar, tidak senonoh, kasar",,,,,
3,強引[ごういん],ごういん,memaksakan,,,,,
3,豪華[ごうか],ごうか,"mewah, megah",,,,,
3,合理的[ごうりてき],ごうりてき,"rasional, masuk akal",,,,,
3,具体的[ぐたいてき],ぐたいてき,konkrit,,,,,
3,非常[ひじょう],ひじょう,"darurat, luar biasa",,,,,
3,卑怯[ひきょう],ひきょう,kikir,,,,,
3,必要[ひつよう],ひつよう,perlu,,,,,
3,偉大[いだい],いだい,"agung, mulia, besar",,,,,
3,いい加減[かげん],いいかげん,"asal-asalan, sembarangan",,,,,
3,意地悪[いじわる],いじわる,"dengki, jahat",,,,,
3,異常[いじょう],いじょう,luar biasa,,,,,
3,一般[いっぱん],いっぱん,"umum, lumrah",,,,,
3,一生懸命[いっしょうけんめい],いっしょうけんめい,bersungguh-sungguh,,,,,
3,悪戯[いたずら],いたずら,"nakal, bandel",,,,,
3,邪魔[じゃま],じゃま,mengganggu,,,,,
4,地味[じみ],じみ,"sederhana, tidak mencolok",,,,,
4,自由奔放[じゆうほんぽう],じゆうほんぽう,"bebas, tak terikat",,,,,
4,上品[じょうひん],じょうひん,"anggun, berkelas",,,,,
4,順調[じゅんちょう],じゅんちょう,lancar,,,,,
4,純粋[じゅんすい],じゅんすい,"murni, asli",,,,,
4,重大[じゅうだい],じゅうだい,"penting, berat, serius",,,,,
4,重要[じゅうよう],じゅうよう,"penting, esensiil",,,,,
4,快適[かいてき],かいてき,"nyaman, menyenangkan",,,,,
4,過剰[かじょう],かじょう,"berlebihan, keterlaluan",,,,,
4,確実[かくじつ],かくじつ,"pasti, dapat dipercaya",,,,,
4,可能[かのう],かのう,mungkin,,,,,
4,完全[かんぜん],かんぜん,"lengkap, purna",,,,,
4,活発[かっぱつ],かっぱつ,"lincah, aktif",,,,,
4,勝手[かって],かって,"sesukanya, semaunya, seenaknya",,,,,
4,かわいそう,かわいそう,"kasian, malang",,,,,
4,けち,けち,"kikir, pelit",,,,,
4,結構[けっこう],けっこう,"bagus, baik, sungguh lumayan",,,,,
4,健康[けんこう],けんこう,"sehat, bugar",,,,,
4,謙虚[けんきょ],けんきょ,"rendah hati, sederhana",,,,,
4,気[き]の毒[どく],きのどく,"malang, menyedihkan",,,,,
5,貴重[きちょう],きちょう,"berharga, bernilai",,,,,
5,几帳面[きちょうめん],きちょうめん,"sistematis, teratur",,,,,
5,危険[きけん],きけん,Baca Juga,,,,,
5,奇妙[きみょう],きみょう,aneh,,,,,
5,気楽[きらく],きらく,"santai, nyaman",,,,,
5,器用[きよう],きよう,"terampil, handal",,,,,
5,困難[こんなん],こんなん,"sukar, sulit",,,,,
5,高度[こうど],こうど,tingkat tinggi,,,,,
5,幸福[こうふく],こうふく,"bahagia, gembira",,,,,
5,公平[こうへい],こうへい,adil,,,,,
5,高級[こうきゅう],こうきゅう,"berkelas tinggi, bermutu tinggi",,,,,
5,巨大[きょだい],きょだい,sangat besar,,,,,
5,真面目[まじめ],まじめ,"sungguh-sungguh, serius",,,,,
5,真[ま]っ赤[か],まっか,merah menyala,,,,,
5,真[ま]っ黒[くろ],まっくろ,hitam legam,,,,,
5,満足[まんぞく],まんぞく,puas,,,,,
5,真[ま]っ青[さお],まっさお,biru tua,,,,,
5,真[ま]っ白[しろ],まっしろ,putih bersih,,,,,
5,くちゃ / むちゃ,くちゃ / むちゃ,"gila-gilaan, tak masuk akal, tak keruan,berantakan",,,,,
5,明確[めいかく],めいかく,jelas,,,,,
6,緑[みどり],みどり,hijau,,,,,
6,魅力的[みりょくてき],みりょくてき,mempesona,,,,,
6,無駄[むだ],むだ,sia-sia,,,,,
6,無害[むがい],むがい,tidak membahayakan,,,,,
6,無邪気[むじゃき],むじゃき,polos,,,,,
6,無地[むじ],むじ,"polos, tanpa corak",,,,,
6,無口[むくち],むくち,pendiam,,,,,
6,紫[むらさき],むらさき,ungu,,,,,
6,無理[むり],むり,"mustahil, tidak mungkin",,,,,
6,妙[みょう],みょう,"aneh, ganjil, ajaib",,,,,
6,なだらか,なだらか,"lemah lembut, halus, landai",,,,,
6,生意気[なまいき],なまいき,"lancing, kurang ajar",,,,,
6,熱心[ねっしん],ねっしん,"antusias, bersemangat",,,,,
6,日常的[にちじょうてき],にちじょうてき,"sehari-hari, lazim (sudah sehari-hari)",,,,,
6,苦手[にがて],にがて,"payah, lemah (pada sesuatu)",,,,,
6,賑[にぎ]やか,にぎやか,ramai,,,,,
6,人気[にんき],にんき,populer,,,,,
6,穏[おだ]やか,おだやか,tenang,,,,,
6,主[おも],おも,"pokok, utama, penting",,,,,
6,おおらか,おおらか,"murah hati, toleran",,,,,
7,お洒落[しゃれ],おしゃれ,stylish,,,,,
7,楽[らく],らく,nyaman,,,,,
7,冷静[れいせい],れいせい,"kalem, tentram",,,,,
7,利口[りこう],りこう,cerdik,,,,,
7,理想的[りそうてき],りそうてき,ideal,,,,,
7,幸[さいわ]い,さいわい,"beruntung, mujur",,,,,
7,盛[さか]ん,さかん,"makmur, tumbuh subuh",,,,,
7,爽[さわ]やか,さわやか,menyegarkan,,,,,
7,誠実[せいじつ],せいじつ,"ikhlas, tulus",,,,,
7,清潔[せいけつ],せいけつ,bersih,,,,,
7,正式[せいしき],せいしき,"formil, resmi",,,,,
7,せっかち,せっかち,"gegabah, terburu-buru",,,,,
7,積極的[せっきょくてき],せっきょくてき,"ambisius, agresif, tegas",,,,,
7,社交的[しゃこうてき],しゃこうてき,suka bergaul/bersosialisasi,,,,,
7,慎重[しんちょう],しんちょう,"cermat, penuh kehati-hatian",,,,,
7,真実[しんじつ],しんじつ,"tulus, lurus",,,,,
7,神経質[しんけいしつ],しんけいしつ,temperamental,,,,,
7,真剣[しんけん],しんけん,"serius, sungguh-sungguh",,,,,
7,深刻[しんこく],しんこく,"serius, parah, genting",,,,,
7,新鮮[しんせん],しんせん,"segar, fresh",,,,,
8,自然[しぜん],しぜん,"alami, natural",,,,,
8,素直[すなお],すなお,"jujur, penurut",,,,,
8,素敵[すてき],すてき,mengagumkan,,,,,
8,大変[たいへん],たいへん,"amat sangat, berat, menyusahkan",,,,,
8,退屈[たいくつ],たいくつ,"menjemukan, membosankan",,,,,
8,平[たい]ら,たいら,rata,,,,,
8,単純[たんじゅん],たんじゅん,sederhana,,,,,
8,確[たし]か,たしか,"terpercaya, reliable",,,,,
8,手軽[てがる],てがる,"terjangkau, mudah",,,,,
8,手頃[てごろ],てごろ,"pantas, layak",,,,,
8,適度[てきど],てきど,"cukup, pas, tepat",,,,,
8,的確[てきかく],てきかく,akurat,,,,,
8,適切[てきせつ],てきせつ,relevan,,,,,
8,適当[てきとう],てきとう,"pantas, sesuai",,,,,
8,得意[とくい],とくい,"terampil, piawai",,,,,
8,特殊[とくしゅ],とくしゅ,"khusus, istimewa",,,,,
8,透明[とうめい],とうめい,"transparan, bening",,,,,
8,強気[つよき],つよき,gagah,,,,,
8,内気[うちき],うちき,"penyendiri, pemalu",,,,,
8,わがまま,わがまま,egois,,,,,
9,欲張[よくば]り,よくばり,"serakah, tamak",,,,,
9,容易[ようい],ようい,"simple, ringan",,,,,
9,愉快[ゆかい],ゆかい,"nikmat, menggembirakan",,,,,
9,ユニーク,ユニーク,"unik, unique",,,,,
9,豊[ゆた]か,ゆたか,"kaya, berlimpah",,,,,
9,有利[ゆうり],ゆうり,menguntungkan,,,,,
9,ぜいたく,ぜいたく,"bermewah-mewah, bermegah-megah",,,,,
