day,kosakata,furigana,arti,contoh1,arti_contoh1,contoh2,arti_contoh2,Data bahasa indonesia
1,歩く,あるく,BERJALAN,毎朝、駅まで歩きます。,SETIAP PAGI SAYA BERJALAN KAKI KE STASIUN.,ゆっくり歩いてください。,TOLONG BERJALAN PERLAHAN.,berjalan
1,言う,いう,BERKATA,先生が名前を言いました。,GURU MENYEBUTKAN NAMA.,「ありがとう」と言いました。,"SAYA BERKATA, “TERIMA KASIH.”",berkata
1,行く,いく,PERGI,毎日学校へ行きます。,SETIAP HARI SAYA PERGI KE SEKOLAH.,週末に京都へ行きました。,AKHIR PEKAN SAYA PERGI KE KYOTO.,pergi
1,いる,いる,ADA,部屋に猫がいます。,ADA KUCING DI KAMAR.,教室に先生がいます。,ADA GURU DI KELAS.,ada
1,要る,いる,MEMBUTUHKAN,旅行にはパスポートが要ります。,UNTUK PERJALANAN DIPERLUKAN PASPOR.,この仕事には時間が要ります。,PEKERJAAN INI MEMERLUKAN WAKTU.,membutuhkan
1,入れる,いれる,MEMASUKAN,かばんに本を入れます。,SAYA MEMASUKKAN BUKU KE TAS.,コーヒーに砂糖を入れました。,SAYA MEMASUKKAN GULA KE DALAM KOPI.,memasukan
1,歌う,うたう,BERNYANYI,みんなで歌を歌います。,KAMI SEMUA BERNYANYI.,カラオケで日本の歌を歌いました。,SAYA MENYANYIKAN LAGU JEPANG DI KARAOKE.,bernyanyi
1,生まれる,うまれる,LAHIR,私はインドネシアで生まれました。,SAYA LAHIR DI INDONESIA.,弟は五月に生まれました。,ADIK LAKI-LAKI SAYA LAHIR PADA BULAN MEI.,lahir
1,売る,うる,MENJUAL,この店でパンを売っています。,TOKO INI MENJUAL ROTI.,古い自転車を売りました。,SAYA MENJUAL SEPEDA LAMA.,menjual
2,起きる,おきる,BANGUN/TERJADI,毎朝六時に起きます。,SETIAP PAGI SAYA BANGUN PUKUL ENAM.,昨日は七時に起きました。,KEMARIN SAYA BANGUN PUKUL TUJUH.,bangun/terjadi
2,置く,おく,MELETAKAN,机の上にかばんを置きます。,SAYA MELETAKKAN TAS DI ATAS MEJA.,ここに荷物を置いてください。,TOLONG LETAKKAN BARANG DI SINI.,meletakan
2,送る,おくる,MENGIRIM,母に写真を送りました。,SAYA MENGIRIM FOTO KEPADA IBU.,メールで資料を送ります。,SAYA AKAN MENGIRIM DOKUMEN MELALUI EMAIL.,mengirim
2,押す,おす,MENEKAN,このボタンを押してください。,TOLONG TEKAN TOMBOL INI.,エレベーターのボタンを押しました。,SAYA MENEKAN TOMBOL LIFT.,menekan
2,覚える,おぼえる,MENGINGAT,新しい言葉を覚えます。,SAYA MENGHAFAL KATA BARU.,昨日、漢字を十個覚えました。,KEMARIN SAYA MENGHAFAL SEPULUH KANJI.,mengingat
2,泳ぐ,およぐ,BERENANG,夏に海で泳ぎます。,SAAT MUSIM PANAS SAYA BERENANG DI LAUT.,弟はプールで泳げます。,ADIK LAKI-LAKI SAYA BISA BERENANG DI KOLAM.,berenang
2,降りる,おりる,MENURUNKAN,次の駅で電車を降ります。,SAYA TURUN DARI KERETA DI STASIUN BERIKUTNYA.,バスを降りて、右へ行きます。,"SETELAH TURUN DARI BUS, SAYA PERGI KE KANAN.",menurunkan
2,終わる,おわる,BERAKHIR,仕事は五時に終わります。,PEKERJAAN SELESAI PUKUL LIMA.,授業が終わりました。,PELAJARAN SUDAH SELESAI.,berakhir
2,買う,かう,MEMBELI,コンビニで水を買います。,SAYA MEMBELI AIR DI KONBINI.,新しい靴を買いました。,SAYA MEMBELI SEPATU BARU.,membeli
2,返す,かえす,MENGEMBALIKAN,本を図書館に返します。,SAYA MENGEMBALIKAN BUKU KE PERPUSTAKAAN.,明日、お金を返します。,BESOK SAYA MENGEMBALIKAN UANG.,mengembalikan
2,帰る,かえる,KEMBALI,仕事のあとで家へ帰ります。,SETELAH BEKERJA SAYA PULANG KE RUMAH.,毎晩九時に帰ります。,SETIAP MALAM SAYA PULANG PUKUL SEMBILAN.,kembali
2,かかる,かかる,"MEMBUTUHKAN
(WAKTU/BIAYA)",駅まで十分かかります。,MEMBUTUHKAN SEPULUH MENIT KE STASIUN.,このかばんは五千円かかりました。,TAS INI HARGANYA LIMA RIBU YEN.,"membutuhkan
(waktu/biaya)"
2,書く,かく,MENULIS,ノートに名前を書きます。,SAYA MENULIS NAMA DI BUKU CATATAN.,先生に手紙を書きました。,SAYA MENULIS SURAT KEPADA GURU.,menulis
2,かける,かける,MENGGANTUNG,めがねをかけます。,SAYA MEMAKAI KACAMATA.,壁に絵をかけました。,SAYA MENGGANTUNG GAMBAR DI DINDING.,menggantung
2,電話をかける,でんわをかける,MENELEPON,母に電話をかけます。,SAYA MENELEPON IBU.,あとで友達に電話をかけました。,TADI SAYA MENELEPON TEMAN.,menelepon
2,貸す,かす,MEMINJAMKAN,友達に傘を貸します。,SAYA MEMINJAMKAN PAYUNG KEPADA TEMAN.,弟に自転車を貸しました。,SAYA MEMINJAMKAN SEPEDA KEPADA ADIK.,meminjamkan
2,被る,かぶる,MEMAKAN (KE KEPALA),帽子を被ります。,SAYA MEMAKAI TOPI.,外へ行く前に帽子を被りました。,"SEBELUM KELUAR, SAYA MEMAKAI TOPI.",memakan (ke kepala)
2,借りる,かりる,MEMINJAM,図書館で本を借ります。,SAYA MEMINJAM BUKU DI PERPUSTAKAAN.,友達からペンを借りました。,SAYA MEMINJAM PULPEN DARI TEMAN.,meminjam
2,消える,きえる,MENGHILANG,電気が消えました。,LAMPU MATI.,テレビの画面が急に消えました。,LAYAR TV TIBA-TIBA MATI.,menghilang
2,聞く,きく,MENDENGAR/BERTANYA,先生の話を聞きます。,SAYA MENDENGARKAN PENJELASAN GURU.,分からないとき、友達に聞きます。,"SAAT TIDAK MENGERTI, SAYA BERTANYA KEPADA TEMAN.",mendengar/bertanya
3,決まる,きまる,DIPUTUSKAN,旅行の日が決まりました。,TANGGAL PERJALANAN SUDAH DITENTUKAN.,会議の時間が決まりました。,WAKTU RAPAT SUDAH DITENTUKAN.,diputuskan
3,決める,きめる,MEMUTUSKAN,明日の予定を決めます。,SAYA MENENTUKAN RENCANA BESOK.,昼ご飯を何にするか決めました。,SAYA SUDAH MEMUTUSKAN MAKAN SIANG APA.,memutuskan
3,切る,きる,MEMOTONG,野菜を小さく切ります。,SAYA MEMOTONG SAYUR MENJADI KECIL.,はさみで紙を切りました。,SAYA MEMOTONG KERTAS DENGAN GUNTING.,memotong
3,着る,きる,MENGENAKAN,毎日シャツを着ます。,SETIAP HARI SAYA MEMAKAI KEMEJA.,寒いので、コートを着ました。,"KARENA DINGIN, SAYA MEMAKAI MANTEL.",mengenakan
3,比べる,くらべる,MEMBANDINGKAN,二つの写真を比べます。,SAYA MEMBANDINGKAN DUA FOTO.,日本とインドネシアの文化を比べました。,SAYA MEMBANDINGKAN BUDAYA JEPANG DAN INDONESIA.,membandingkan
3,くれる,くれる,MEMBERI,友達が本をくれました。,TEMAN MEMBERI SAYA BUKU.,母がケーキをくれました。,IBU MEMBERI SAYA KUE.,memberi
3,暮れる,くれる,MENJADI GELAP,外がだんだん暗くなり、日が暮れました。,DI LUAR SEMAKIN GELAP DAN HARI MENJELANG MALAM.,冬は早く日が暮れます。,"PADA MUSIM DINGIN, HARI CEPAT MENJADI GELAP.",menjadi gelap
3,来る,くる,DATANG,明日、友達が家に来ます。,BESOK TEMAN DATANG KE RUMAH.,先生はもう来ました。,GURU SUDAH DATANG.,datang
3,消す,けす,MENGHAPUS,寝る前に電気を消します。,SEBELUM TIDUR SAYA MEMATIKAN LAMPU.,テレビを消してください。,TOLONG MATIKAN TV.,menghapus
3,答える,こたえる,MENJAWAB,質問に答えます。,SAYA MENJAWAB PERTANYAAN.,先生の質問に日本語で答えました。,SAYA MENJAWAB PERTANYAAN GURU DALAM BAHASA JEPANG.,menjawab
3,困る,こまる,BERMASALAH,お金がなくて困っています。,SAYA KESULITAN KARENA TIDAK PUNYA UANG.,道が分からなくて困りました。,SAYA KESULITAN KARENA TIDAK TAHU JALANNYA.,bermasalah
3,込む,こむ,"MELEKUK, MENJADI SESAK",朝の電車はとても込んでいます。,KERETA PAGI SANGAT PADAT.,この道は夕方に込むことがあります。,JALAN INI KADANG PADAT PADA SORE HARI.,"melekuk, menjadi sesak"
3,壊れる,こわれる,RUSAK,時計が壊れました。,JAMNYA RUSAK.,古いテレビが壊れています。,TV LAMA ITU RUSAK.,rusak
3,壊す,こわす,MERUSAK,子どもがおもちゃを壊しました。,ANAK ITU MERUSAK MAINAN.,コップを落として壊しました。,SAYA MENJATUHKAN DAN MEMECAHKAN GELAS.,merusak
3,下がる,さがる,TURUN,気温が下がりました。,SUHU TURUN.,夜になると温度が下がります。,"SAAT MALAM, SUHU TURUN.",turun
3,下げる,さげる,MENURUNKAN,かばんを床に下げました。,SAYA MENURUNKAN/MENARUH TAS KE BAWAH.,店員さんが値段を下げました。,PEGAWAI TOKO MENURUNKAN HARGA.,menurunkan
3,咲く,さく,MEKAR,春になると桜が咲きます。,"SAAT MUSIM SEMI, BUNGA SAKURA MEKAR.",庭の花がきれいに咲きました。,BUNGA DI TAMAN MEKAR DENGAN INDAH.,mekar
3,差す,さす,"MENUNJUK/MEMBUKA
PAYUNG",雨なので、傘を差します。,"KARENA HUJAN, SAYA MEMAKAI PAYUNG.",駅まで傘を差して歩きました。,SAYA BERJALAN SAMPAI STASIUN DENGAN PAYUNG.,"menunjuk/membuka
payung"
3,差し上げる,さしあげる,MEMBERI (HORMAT),先生に花を差し上げました。,SAYA MEMBERIKAN BUNGA KEPADA GURU.,お客様にお茶を差し上げます。,SAYA MEMBERIKAN TEH KEPADA TAMU.,memberi (hormat)
3,騒ぐ,さわぐ,MEMBUAT KEBISINGAN,図書館で騒がないでください。,JANGAN BERISIK DI PERPUSTAKAAN.,子どもたちは公園で騒いでいます。,ANAK-ANAK SEDANG BERISIK DI TAMAN.,membuat kebisingan
4,触る,さわる,MENYENTUH,この機械に触らないでください。,JANGAN MENYENTUH MESIN INI.,展示品に触りました。,SAYA MENYENTUH BARANG PAMERAN.,menyentuh
4,叱る,しかる,MENGOMELI,先生は学生を叱りました。,GURU MEMARAHI SISWA.,母に叱られました。,SAYA DIMARAHI IBU.,mengomeli
4,調べる,しらべる,MENGINVESTIGASI,辞書で言葉を調べます。,SAYA MENCARI ARTI KATA DI KAMUS.,インターネットで駅の場所を調べました。,SAYA MENCARI LOKASI STASIUN DI INTERNET.,menginvestigasi
4,知らせる,しらせる,MEMBERITAHU,家族に予定を知らせます。,SAYA MEMBERI TAHU KELUARGA TENTANG RENCANA.,先生に結果を知らせました。,SAYA MEMBERI TAHU HASILNYA KEPADA GURU.,memberitahu
4,死ぬ,しぬ,MATI,魚が死んでしまいました。,IKANNYA MATI.,その犬は十年前に死にました。,ANJING ITU MATI SEPULUH TAHUN LALU.,mati
4,閉まる,しまる,TERTUTUP,店は八時に閉まります。,TOKO TUTUP PUKUL DELAPAN.,ドアが閉まりました。,PINTUNYA TERTUTUP.,tertutup
4,閉める,しめる,MENUTUP,窓を閉めてください。,TOLONG TUTUP JENDELA.,寝る前にドアを閉めました。,SEBELUM TIDUR SAYA MENUTUP PINTU.,menutup
4,締める,しめる,MENGENCANGKAN,ネクタイを締めます。,SAYA MENGIKAT/MENGENCANGKAN DASI.,出かける前にベルトを締めました。,SEBELUM KELUAR SAYA MENGENCANGKAN SABUK.,mengencangkan
4,知る,しる,TAHU,その店を知っています。,SAYA TAHU TOKO ITU.,彼の名前を知りません。,SAYA TIDAK TAHU NAMANYA.,tahu
4,育てる,そだてる,"MEMBESARKAN, MENDIDIK",母は花を育てています。,IBU MEMELIHARA/MENUMBUHKAN BUNGA.,私は野菜を育てたいです。,SAYA INGIN MENANAM SAYUR.,"membesarkan, mendidik"
4,育つ,そだつ,TUMBUH BESAR,この花は大きく育ちます。,BUNGA INI TUMBUH BESAR.,子どもは家族と一緒に育ちました。,ANAK ITU TUMBUH BESAR BERSAMA KELUARGA.,tumbuh besar
4,吸う,すう,MENGISAP,朝、コーヒーを飲んで、たばこを吸います。,"PAGI HARI, SAYA MINUM KOPI DAN MEROKOK.",この部屋ではたばこを吸わないでください。,JANGAN MEROKOK DI RUANGAN INI.,mengisap
4,過ぎる,すぎる,MELEWATI,もう十二時を過ぎました。,SUDAH LEWAT PUKUL DUA BELAS.,夏休みはすぐに過ぎました。,LIBURAN MUSIM PANAS BERLALU DENGAN CEPAT.,melewati
4,住む,すむ,BERTEMPAT TINGGAL,東京に住んでいます。,SAYA TINGGAL DI TOKYO.,家族とインドネシアに住んでいます。,SAYA TINGGAL DI INDONESIA BERSAMA KELUARGA.,bertempat tinggal
4,済む,すむ,REDA,宿題がやっと済みました。,PR AKHIRNYA SELESAI.,仕事が済んだら帰ります。,"SETELAH PEKERJAAN SELESAI, SAYA PULANG.",reda
4,進む,すすむ,MAJU,まっすぐ進んでください。,SILAKAN TERUS MAJU LURUS.,工事が少しずつ進んでいます。,PEMBANGUNAN BERJALAN SEDIKIT DEMI SEDIKIT.,maju
4,捨てる,すてる,MEMBUANG,ごみをゴミ箱に捨てます。,SAYA MEMBUANG SAMPAH KE TEMPAT SAMPAH.,古い服を捨てました。,SAYA MEMBUANG BAJU LAMA.,membuang
4,滑る,すべる,"TERSELIP, TERGELINCIR",雨の日は道が滑ります。,JALAN LICIN PADA HARI HUJAN.,階段で滑って転びました。,SAYA TERGELINCIR DAN JATUH DI TANGGA.,"terselip, tergelincir"
4,する,する,MELAKUKAN,毎朝、運動をします。,SAYA BEROLAHRAGA SETIAP PAGI.,宿題をしました。,SAYA MENGERJAKAN PR.,melakukan
4,座る,すわる,DUDUK,ここに座ってください。,SILAKAN DUDUK DI SINI.,電車で席に座りました。,SAYA DUDUK DI KURSI DI KERETA.,duduk
5,出す,だす,MENGELUARKAN,かばんから本を出します。,SAYA MENGELUARKAN BUKU DARI TAS.,宿題を先生に出しました。,SAYA MENGUMPULKAN PR KEPADA GURU.,mengeluarkan
5,立つ,たつ,BERDIRI,毎朝六時に立ちます。,SETIAP PAGI SAYA BANGUN/BERDIRI PUKUL ENAM.,席を立ってください。,SILAKAN BERDIRI DARI TEMPAT DUDUK.,berdiri
5,足す,たす,"MENAMBAH, TAMBAH
(ANGKA)",水を少し足します。,SAYA MENAMBAHKAN SEDIKIT AIR.,スープに塩を足しました。,SAYA MENAMBAHKAN GARAM KE SUP.,"menambah, tambah
(angka)"
5,倒れる,たおれる,RUNTUH,強い風で木が倒れました。,POHON TUMBANG KARENA ANGIN KENCANG.,疲れて椅子に倒れました。,"KARENA LELAH, SAYA JATUH/TERSANDAR KE KURSI.",runtuh
5,頼む,たのむ,MEMOHON,店員さんに水を頼みました。,SAYA MEMINTA AIR KEPADA PEGAWAI TOKO.,友達に仕事を頼みます。,SAYA MEMINTA BANTUAN PEKERJAAN KEPADA TEMAN.,memohon
5,楽しむ,たのしむ,MENIKMATI,旅行を楽しみます。,SAYA MENIKMATI PERJALANAN.,家族と映画を楽しみました。,SAYA MENIKMATI FILM BERSAMA KELUARGA.,menikmati
5,足りる,たりる,MENJADI CUKUP,このお金で足りますか。,APAKAH UANG INI CUKUP?,食べ物が足りません。,MAKANANNYA TIDAK CUKUP.,menjadi cukup
5,食べる,たべる,MAKAN,毎朝パンを食べます。,SETIAP PAGI SAYA MAKAN ROTI.,昼ご飯にラーメンを食べました。,SAYA MAKAN RAMEN UNTUK MAKAN SIANG.,makan
5,訪ねる,たずねる,MENGUNJUNGI,来週、友達の家を訪ねます。,MINGGU DEPAN SAYA MENGUNJUNGI RUMAH TEMAN.,京都のお寺を訪ねました。,SAYA MENGUNJUNGI KUIL DI KYOTO.,mengunjungi
5,尋ねる,たずねる,BERTANYA,先生に質問を尋ねました。,SAYA MENANYAKAN PERTANYAAN KEPADA GURU.,駅までの道を警察官に尋ねました。,SAYA MENANYAKAN JALAN KE STASIUN KEPADA POLISI.,bertanya
5,建てる,たてる,MEMBANGUNG,父は家を建てました。,AYAH MEMBANGUN RUMAH.,駅の近くに新しい店を建てます。,AKAN DIBANGUN TOKO BARU DI DEKAT STASIUN.,membangung
5,立てる,たてる,MENDIRIKAN,机の上に本を立てます。,SAYA MENEGAKKAN BUKU DI ATAS MEJA.,旅行の計画を立てました。,SAYA MEMBUAT RENCANA PERJALANAN.,mendirikan
5,違う,ちがう,BERBEDA,私の答えは違います。,JAWABAN SAYA BERBEDA/SALAH.,この二つは色が違います。,KEDUA BENDA INI WARNANYA BERBEDA.,berbeda
5,使う,つかう,MENGGUNAKAN,毎日パソコンを使います。,SAYA MENGGUNAKAN KOMPUTER SETIAP HARI.,このペンを使ってください。,SILAKAN GUNAKAN PENA INI.,menggunakan
5,疲れる,つかれる,LELAH,仕事のあとで疲れました。,SAYA LELAH SETELAH BEKERJA.,たくさん歩くと疲れます。,"KALAU BANYAK BERJALAN, SAYA LELAH.",lelah
5,捕まる,つかまる,TERTANGKAP,泥棒が警察に捕まりました。,PENCURI DITANGKAP POLISI.,電車の中で席につかまりました。,SAYA BERPEGANG PADA TEMPAT PEGANGAN DI KERETA.,tertangkap
5,捕まえる,つかまえる,MENANGKAP,警察が泥棒を捕まえました。,POLISI MENANGKAP PENCURI.,父が魚を一匹捕まえました。,AYAH MENANGKAP SEEKOR IKAN.,menangkap
5,着く,つく,TIBA,七時に駅に着きます。,SAYA TIBA DI STASIUN PUKUL TUJUH.,バスは八時に学校に着きました。,BUS TIBA DI SEKOLAH PUKUL DELAPAN.,tiba
5,作る,つくる,MEMBUAT,母と夕食を作ります。,SAYA MEMBUAT MAKAN MALAM BERSAMA IBU.,週末にケーキを作りました。,AKHIR PEKAN SAYA MEMBUAT KUE.,membuat
5,つける,つける,MENYALAKAN,部屋の電気をつけます。,SAYA MENYALAKAN LAMPU KAMAR.,テレビをつけてください。,TOLONG NYALAKAN TV.,menyalakan
6,漬ける,つける,MERENDAM,野菜を塩に漬けます。,SAYA MERENDAM SAYUR DENGAN GARAM.,きゅうりを酢に漬けました。,SAYA MERENDAM MENTIMUN DALAM CUKA.,merendam
6,伝える,つたえる,MENYAMPAIKAN,先生にメッセージを伝えます。,SAYA MENYAMPAIKAN PESAN KEPADA GURU.,家族に予定を伝えました。,SAYA MEMBERI TAHU RENCANA KEPADA KELUARGA.,menyampaikan
6,勤める,つとめる,BEKERJA UNTUK SESEORANG,父は会社に勤めています。,AYAH BEKERJA DI PERUSAHAAN.,姉は銀行に勤めています。,KAKAK PEREMPUAN BEKERJA DI BANK.,bekerja untuk seseorang
6,釣る,つる,MEMANCING,父は海で魚を釣ります。,AYAH MEMANCING IKAN DI LAUT.,日曜日に魚を釣りました。,HARI MINGGU SAYA MEMANCING IKAN.,memancing
6,包む,つつむ,MEMBUNGKUS,プレゼントを紙で包みます。,SAYA MEMBUNGKUS HADIAH DENGAN KERTAS.,店員さんが荷物を包みました。,PEGAWAI TOKO MEMBUNGKUS BARANG.,membungkus
6,連れる,つれる,MEMIMPIN,週末、子どもを公園へ連れて行きます。,AKHIR PEKAN SAYA MEMBAWA ANAK KE TAMAN.,友達をパーティーに連れてきました。,SAYA MEMBAWA TEMAN KE PESTA.,memimpin
6,続く,つづく,BERLANJUT,雨が三日続きました。,HUJAN BERLANJUT SELAMA TIGA HARI.,この道は駅まで続きます。,JALAN INI BERLANJUT SAMPAI STASIUN.,berlanjut
6,続ける,つづける,MELANJUTKAN,毎日日本語を勉強し続けます。,SAYA TERUS BELAJAR BAHASA JEPANG SETIAP HARI.,仕事を続けたいです。,SAYA INGIN TERUS BEKERJA.,melanjutkan
6,出来る,できる,BISA,日本語が少し出来ます。,SAYA BISA BAHASA JEPANG SEDIKIT.,駅の前に新しい店が出来ました。,TOKO BARU TELAH DIBUKA/TERBANGUN DI DEPAN STASIUN.,bisa
6,出かける,でかける,PERGI KELUAR,午後、買い物に出かけます。,SIANG NANTI SAYA PERGI BELANJA.,日曜日に家族と出かけました。,HARI MINGGU SAYA PERGI BERSAMA KELUARGA.,pergi keluar
6,出る,でる,KELUAR,毎朝七時に家を出ます。,SETIAP PAGI SAYA KELUAR RUMAH PUKUL TUJUH.,電車から人がたくさん出てきました。,BANYAK ORANG KELUAR DARI KERETA.,keluar
6,手伝う,てつだう,MEMBANTU,母の料理を手伝います。,SAYA MEMBANTU IBU MEMASAK.,引っ越しを手伝いました。,SAYA MEMBANTU PINDAHAN.,membantu
6,飛ぶ,とぶ,TERBANG,鳥が空を飛んでいます。,BURUNG SEDANG TERBANG DI LANGIT.,飛行機が空を飛びました。,PESAWAT TERBANG DI LANGIT.,terbang
6,止まる,とまる,BERHENTI,バスが駅に止まりました。,BUS BERHENTI DI STASIUN.,時計が止まっています。,JAMNYA BERHENTI.,berhenti
6,止める,とめる,MENGHENTIKAN,車をここに止めないでください。,JANGAN PARKIRKAN MOBIL DI SINI.,音楽を止めました。,SAYA MENGHENTIKAN MUSIK.,menghentikan
6,取る,とる,MENGAMBIL,冷蔵庫から水を取ります。,SAYA MENGAMBIL AIR DARI KULKAS.,机の上の本を取りました。,SAYA MENGAMBIL BUKU DI ATAS MEJA.,mengambil
6,撮る,とる,"MENGAMBIL
PHOTO/MEMOTRET",旅行で写真を撮ります。,SAYA MENGAMBIL FOTO SAAT PERJALANAN.,友達と写真を撮りました。,SAYA BERFOTO DENGAN TEMAN.,"mengambil
photo/memotret"
6,通る,とおる,MELALUI,毎朝この道を通ります。,SETIAP PAGI SAYA MELEWATI JALAN INI.,学校の前を通りました。,SAYA MELEWATI DEPAN SEKOLAH.,melalui
6,届く,とどく,TERCAPAI,荷物が今日届きました。,PAKETNYA TIBA HARI INI.,手紙が家に届きました。,SURATNYA SAMPAI DI RUMAH.,tercapai
6,届ける,とどける,MENCAPAI,荷物を会社に届けます。,SAYA MENGANTARKAN PAKET KE PERUSAHAAN.,忘れ物を学校に届けました。,SAYA MENGANTARKAN BARANG YANG TERTINGGAL KE SEKOLAH.,mencapai
7,泊まる,とまる,BERMALAM,京都のホテルに泊まります。,SAYA MENGINAP DI HOTEL DI KYOTO.,友達の家に泊まりました。,SAYA MENGINAP DI RUMAH TEMAN.,bermalam
7,取り替える,とりかえる,MENUKARKAN,電池を取り替えます。,SAYA MENGGANTI BATERAI.,古い電球を新しいものに取り替えました。,SAYA MENGGANTI LAMPU LAMA DENGAN YANG BARU.,menukarkan
7,鳴く,なく,BERBUNYI,犬が大きな声で鳴いています。,ANJING SEDANG MENGGONGGONG DENGAN KERAS.,朝、鳥が鳴きました。,PAGI HARI BURUNG BERKICAU.,berbunyi
7,泣く,なく,MENANGIS,子どもが泣いています。,ANAK ITU SEDANG MENANGIS.,映画を見て泣きました。,SAYA MENANGIS SAAT MENONTON FILM.,menangis
7,亡くなる,なくなる,MENINGGAL,祖父は去年亡くなりました。,KAKEK MENINGGAL TAHUN LALU.,友達のお父さんが亡くなりました。,AYAH TEMAN SAYA MENINGGAL.,meninggal
7,無くなる,なくなる,HILANG,冷蔵庫の牛乳が無くなりました。,SUSU DI KULKAS SUDAH HABIS.,お金が無くなりました。,UANG SAYA SUDAH HABIS.,hilang
7,並ぶ,ならぶ,BERBARIS,店の前に人が並んでいます。,ORANG-ORANG MENGANTRE DI DEPAN TOKO.,切符を買うために並びました。,SAYA MENGANTRE UNTUK MEMBELI TIKET.,berbaris
7,並べる,ならべる,MENYUSUN,机の上に本を並べます。,SAYA MENATA BUKU DI ATAS MEJA.,料理をテーブルに並べました。,SAYA MENATA MAKANAN DI MEJA.,menyusun
7,なる,なる,MENJADI,来年、二十歳になります。,TAHUN DEPAN SAYA BERUSIA 20 TAHUN.,春になると暖かくなります。,"SAAT MUSIM SEMI, CUACA MENJADI HANGAT.",menjadi
7,治る,なおる,SEMBUH,風邪が治りました。,FLU SAYA SUDAH SEMBUH.,けがが早く治るといいですね。,SEMOGA LUKANYA CEPAT SEMBUH.,sembuh
7,直る,なおる,MENJADI DIPERBAIKI,パソコンが直りました。,KOMPUTER SUDAH DIPERBAIKI.,時計がやっと直りました。,JAM AKHIRNYA SUDAH DIPERBAIKI.,menjadi diperbaiki
7,治す,なおす,MENYEMBUHKAN,薬を飲んで風邪を治します。,SAYA MENYEMBUHKAN FLU DENGAN MINUM OBAT.,早く病気を治したいです。,SAYA INGIN SEGERA SEMBUH DARI PENYAKIT.,menyembuhkan
7,直す,なおす,MEMPERBAIKI,間違いを直します。,SAYA MEMPERBAIKI KESALAHAN.,壊れた自転車を直しました。,SAYA MEMPERBAIKI SEPEDA YANG RUSAK.,memperbaiki
7,投げる,なげる,MELEMPAR,ボールを友達に投げます。,SAYA MELEMPAR BOLA KEPADA TEMAN.,川に石を投げないでください。,JANGAN MELEMPAR BATU KE SUNGAI.,melempar
7,慣れる,なれる,TERBIASA,日本の生活に慣れました。,SAYA SUDAH TERBIASA DENGAN KEHIDUPAN DI JEPANG.,新しい仕事に慣れるまで時間がかかります。,MEMBUTUHKAN WAKTU UNTUK TERBIASA DENGAN PEKERJAAN BARU.,terbiasa
7,逃げる,にげる,MELARIKAN DIRI,犬が家から逃げました。,ANJING KABUR DARI RUMAH.,危ないときはすぐに逃げてください。,"SAAT BERBAHAYA, SEGERALAH MELARIKAN DIRI.",melarikan diri
7,似る,にる,MIRIP,姉は母に似ています。,KAKAK PEREMPUAN MIRIP IBU.,この二人は顔がよく似ています。,KEDUA ORANG INI SANGAT MIRIP WAJAHNYA.,mirip
7,盗む,ぬすむ,MENCURI,誰かが私の自転車を盗みました。,SESEORANG MENCURI SEPEDA SAYA.,店の商品を盗んではいけません。,TIDAK BOLEH MENCURI BARANG TOKO.,mencuri
