grup,kosakata,furigana,arti,contoh1,arti_contoh1,contoh2,arti_contoh2
Bagian Tangan,爪,つめ,KUKU,長くなった利用者の爪を切ります。,Potong kuku pengguna layanan yang sudah panjang.,爪の間に汚れがないか確認します。,Periksa apakah ada kotoran di sela-sela kuku.
Bagian Tangan,親指,おやゆび,JARI JEMPOL,親指を使ってボタンを留めます。,Gunakan ibu jari untuk memasang kancing.,利用者の親指に痛みがないか確認します。,Periksa apakah ada rasa sakit pada ibu jari pengguna layanan.
Bagian Tangan,人差し指,ひとさしゆび,JARI TELUNJUK,人差し指でナースコールを押してもらいます。,Minta pengguna layanan menekan nurse call dengan jari telunjuk.,人差し指に痛みがないか確認します。,Periksa apakah ada rasa sakit pada jari telunjuk.
Bagian Tangan,中指,なかゆび,JARI TENGAH,利用者の中指に異常がないか確認します。,Periksa apakah ada kelainan pada jari tengah pengguna layanan.,清潔を保つため、利用者の中指をきれいにします。,"Untuk menjaga kebersihan, bersihkan jari tengah pengguna layanan."
Bagian Tangan,薬指,くすりゆび,JARI MANIS,利用者の薬指に異常がないか確認します。,Periksa apakah ada kelainan pada jari manis pengguna layanan.,清潔を保つため、利用者の薬指をきれいにします。,"Untuk menjaga kebersihan, bersihkan jari manis pengguna layanan."
Bagian Tangan,小指,こゆび,JARI KELINGKING,利用者の小指に異常がないか確認します。,Periksa apakah ada kelainan pada jari kelingking pengguna layanan.,清潔を保つため、利用者の小指をきれいにします。,"Untuk menjaga kebersihan, bersihkan jari kelingking pengguna layanan."
Bagian Kaki,太もも,ふともも,PAHA,利用者の太ももに痛みがないか確認します。,Periksa apakah ada rasa sakit pada paha pengguna layanan.,移乗介助では太ももに無理な力をかけないようにします。,"Saat membantu perpindahan, jangan memberikan tekanan berlebihan pada paha."
Bagian Kaki,脹脛,ふくらはぎ,BETIS,利用者の脹脛に異常がないか確認します。,Periksa apakah ada kelainan pada betis pengguna layanan.,清潔を保つため、利用者の脹脛をきれいにします。,"Untuk menjaga kebersihan, bersihkan betis pengguna layanan."
Bagian Kaki,足の付け根,あしのつけね,PANGKAL PAHA/ SELANGKANGAN,利用者の足の付け根に異常がないか確認します。,Periksa apakah ada kelainan pada pangkal paha/ selangkangan pengguna layanan.,清潔を保つため、利用者の足の付け根をきれいにします。,"Untuk menjaga kebersihan, bersihkan pangkal paha/ selangkangan pengguna layanan."
Bagian Kaki,足首,あしくび,PERGELANGAN KAKI,歩行前に足首の動きを確認します。,"Sebelum berjalan, periksa gerakan pergelangan kaki.",足首に腫れがないか確認します。,Periksa apakah ada pembengkakan pada pergelangan kaki.
Bagian Kaki,膝,ひざ,LUTUT,立ち上がる前に膝の状態を確認します。,"Sebelum berdiri, periksa kondisi lutut.",膝に痛みがある場合は、無理に歩かせません。,"Jika lutut terasa sakit, jangan memaksa pengguna layanan berjalan."
Bagian Kaki,足底（足の裏）,そくてい（あしのうら）,TELAPAK KAKI (DASAR KAKI),利用者の足底（足の裏）に異常がないか確認します。,Periksa apakah ada kelainan pada telapak kaki (dasar kaki) pengguna layanan.,清潔を保つため、利用者の足底（足の裏）をきれいにします。,"Untuk menjaga kebersihan, bersihkan telapak kaki (dasar kaki) pengguna layanan."
Bagian Kaki,つま先,つまさき,UJUNG JARI KAKI,歩くときはつま先が床に引っかからないように注意します。,"Saat berjalan, perhatikan agar ujung jari kaki tidak tersangkut di lantai.",靴を履く前に、つま先に痛みがないか確認します。,"Sebelum memakai sepatu, periksa apakah ada rasa sakit pada ujung jari kaki."
Bagian Kaki,踵,かかと,TUMIT,歩行介助では踵がしっかり床につくようにします。,"Saat membantu berjalan, pastikan tumit menapak dengan baik di lantai.",踵に傷がないか確認します。,Periksa apakah ada luka pada tumit.
Bagian Dalam,筋肉,きんにく,OTOT,運動の前に筋肉を軽く動かします。,"Sebelum berolahraga, gerakkan otot secara perlahan.",筋肉の状態を確認しながらリハビリを行います。,Lakukan rehabilitasi sambil memeriksa kondisi otot.
Bagian Dalam,骨,ほね,TULANG,転倒した利用者は骨に異常がないか確認します。,"Jika pengguna layanan jatuh, periksa apakah ada kelainan pada tulang.",骨を丈夫に保つため、適度な運動をします。,Lakukan olahraga secukupnya untuk menjaga tulang tetap kuat.
Bagian Dalam,関節,かんせつ,SENDI,関節を無理に動かさないようにします。,Jangan menggerakkan sendi secara paksa.,リハビリでは関節の動きを確認します。,"Saat rehabilitasi, periksa pergerakan sendi."
Bagian Dalam,心臓,しんぞう,JANTUNG,運動中は心臓に負担をかけすぎないようにします。,"Saat berolahraga, jangan memberikan beban berlebihan pada jantung.",心臓の状態について医師に相談します。,Konsultasikan kondisi jantung dengan dokter.
Bagian Dalam,血液,けつえき,DARAH,検査のために血液を採取します。,Ambil darah untuk pemeriksaan.,血液検査の結果を医師に確認します。,Periksa hasil tes darah kepada dokter.
Bagian Dalam,血管,けっかん,PEMBULUH DARAH,血管の状態を検査します。,Periksa kondisi pembuluh darah.,血管に負担をかけないように注意します。,Berhati-hatilah agar tidak memberikan beban pada pembuluh darah.
Bagian Dalam,胃,い,LAMBUNG,食後すぐに横になると胃に負担がかかります。,Berbaring segera setelah makan dapat membebani lambung.,胃の調子が悪いときは、看護師に相談します。,"Jika kondisi lambung tidak baik, konsultasikan kepada perawat."
Area Bed,ベッド,,TEMPAT TIDUR,利用者が使いやすいようにベッドを整えます。,Atur tempat tidur agar mudah digunakan oleh pengguna layanan.,利用者の安全のため、ベッドに問題がないか確認します。,"Demi keselamatan pengguna layanan, periksa apakah ada masalah pada tempat tidur."
Area Bed,枕,まくら,BANTAL,利用者が使いやすいように枕を整えます。,Atur bantal agar mudah digunakan oleh pengguna layanan.,利用者の安全のため、枕に問題がないか確認します。,"Demi keselamatan pengguna layanan, periksa apakah ada masalah pada bantal."
Area Bed,オーバーテーブル,,MEJA MAKAN PASIEN,利用者が使いやすいようにオーバーテーブルを整えます。,Atur meja makan pasien agar mudah digunakan oleh pengguna layanan.,利用者の安全のため、オーバーテーブルに問題がないか確認します。,"Demi keselamatan pengguna layanan, periksa apakah ada masalah pada meja makan pasien."
Area Bed,毛布,もうふ,SELIMUT,利用者が使いやすいように毛布を整えます。,Atur selimut agar mudah digunakan oleh pengguna layanan.,利用者の安全のため、毛布に問題がないか確認します。,"Demi keselamatan pengguna layanan, periksa apakah ada masalah pada selimut."
Area Bed,シーツ,,SEPRAI,利用者が使いやすいようにシーツを整えます。,Atur seprai agar mudah digunakan oleh pengguna layanan.,利用者の安全のため、シーツに問題がないか確認します。,"Demi keselamatan pengguna layanan, periksa apakah ada masalah pada seprai."
Area Bed,床頭台,しょうとうだい,MEJA SAMPING KECIL,利用者が使いやすいように床頭台を整えます。,Atur meja samping kecil agar mudah digunakan oleh pengguna layanan.,利用者の安全のため、床頭台に問題がないか確認します。,"Demi keselamatan pengguna layanan, periksa apakah ada masalah pada meja samping kecil."
Area Bed,サイドレール,,PAGAR,利用者が使いやすいようにサイドレールを整えます。,Atur pagar agar mudah digunakan oleh pengguna layanan.,利用者の安全のため、サイドレールに問題がないか確認します。,"Demi keselamatan pengguna layanan, periksa apakah ada masalah pada pagar."
Area Bed,ベッド柵,ベッドさく,PAGAR TEMPAT TIDUR,利用者が使いやすいようにベッド柵を整えます。,Atur pagar tempat tidur agar mudah digunakan oleh pengguna layanan.,利用者の安全のため、ベッド柵に問題がないか確認します。,"Demi keselamatan pengguna layanan, periksa apakah ada masalah pada pagar tempat tidur."
Area Bed,布団,ふとん,"KASUR, KASUR JEPANG",利用者が使いやすいように布団を整えます。,"Atur kasur, kasur jepang agar mudah digunakan oleh pengguna layanan.",利用者の安全のため、布団に問題がないか確認します。,"Demi keselamatan pengguna layanan, periksa apakah ada masalah pada kasur, kasur jepang."
Alat Bantu Untuk Berpindah/Mobilitas,車椅子,くるまいす,KURSI RODA,移動介助の前に車椅子を準備します。,Siapkan kursi roda sebelum membantu perpindahan.,利用者を安全に移動させるため、車椅子を正しく使います。,Gunakan kursi roda dengan benar agar pengguna layanan dapat berpindah dengan aman.
Alat Bantu Untuk Berpindah/Mobilitas,杖,つえ,TONGKAT BANTU JALAN,移動介助の前に杖を準備します。,Siapkan tongkat bantu jalan sebelum membantu perpindahan.,利用者を安全に移動させるため、杖を正しく使います。,Gunakan tongkat bantu jalan dengan benar agar pengguna layanan dapat berpindah dengan aman.
Alat Bantu Untuk Berpindah/Mobilitas,歩行器,ほこうき,ALAT BANTU JALAN LANSIA,移動介助の前に歩行器を準備します。,Siapkan alat bantu jalan lansia sebelum membantu perpindahan.,利用者を安全に移動させるため、歩行器を正しく使います。,Gunakan alat bantu jalan lansia dengan benar agar pengguna layanan dapat berpindah dengan aman.
Alat Bantu Untuk Berpindah/Mobilitas,ストレッチャー,,"STRETCHER, BRANKAR DARURAT",移動介助の前にストレッチャーを準備します。,"Siapkan stretcher, brankar darurat sebelum membantu perpindahan.",利用者を安全に移動させるため、ストレッチャーを正しく使います。,"Gunakan stretcher, brankar darurat dengan benar agar pengguna layanan dapat berpindah dengan aman."
Alat Bantu Untuk Berpindah/Mobilitas,移動用リフト,いどうようリフト,"ALAT PEMINDAH, LIFT PASIEN",移動介助の前に移動用リフトを準備します。,"Siapkan alat pemindah, lift pasien sebelum membantu perpindahan.",利用者を安全に移動させるため、移動用リフトを正しく使います。,"Gunakan alat pemindah, lift pasien dengan benar agar pengguna layanan dapat berpindah dengan aman."
Alat Bantu Untuk Berpindah/Mobilitas,スライディングボード,,PAPAN PENGGESER,移動介助の前にスライディングボードを準備します。,Siapkan papan penggeser sebelum membantu perpindahan.,利用者を安全に移動させるため、スライディングボードを正しく使います。,Gunakan papan penggeser dengan benar agar pengguna layanan dapat berpindah dengan aman.
Alat Bantu Untuk Berpindah/Mobilitas,スライディングシート,,KAIN PENGGESER,移動介助の前にスライディングシートを準備します。,Siapkan kain penggeser sebelum membantu perpindahan.,利用者を安全に移動させるため、スライディングシートを正しく使います。,Gunakan kain penggeser dengan benar agar pengguna layanan dapat berpindah dengan aman.
Ruang Makan & Alat Makan,テーブル,,MEJA,食事の前にテーブルを準備します。,Siapkan meja sebelum makan.,食事介助ではテーブルを安全に使います。,"Saat membantu makan, gunakan meja dengan aman."
Ruang Makan & Alat Makan,椅子,いす,KURSI,食事の前に椅子を準備します。,Siapkan kursi sebelum makan.,食事介助では椅子を安全に使います。,"Saat membantu makan, gunakan kursi dengan aman."
Ruang Makan & Alat Makan,茶碗,ちゃわん,MANGKUK NASI,食事の前に茶碗を準備します。,Siapkan mangkuk nasi sebelum makan.,食事介助では茶碗を安全に使います。,"Saat membantu makan, gunakan mangkuk nasi dengan aman."
Ruang Makan & Alat Makan,吸い飲み,すいのみ,CANGKIR BERMONCONG,食事の前に吸い飲みを準備します。,Siapkan cangkir bermoncong sebelum makan.,食事介助では吸い飲みを安全に使います。,"Saat membantu makan, gunakan cangkir bermoncong dengan aman."
Ruang Makan & Alat Makan,お椀,おわん,MANGKUK,食事の前にお椀を準備します。,Siapkan mangkuk sebelum makan.,食事介助ではお椀を安全に使います。,"Saat membantu makan, gunakan mangkuk dengan aman."
Ruang Makan & Alat Makan,カップ,,CANGKIR (PLASTIC CUP WITH A HANDLE),食事の前にカップを準備します。,Siapkan cangkir (plastic cup with a handle) sebelum makan.,食事介助ではカップを安全に使います。,"Saat membantu makan, gunakan cangkir (plastic cup with a handle) dengan aman."
Ruang Makan & Alat Makan,コップ,,GELAS (DRINKING CUP WITHOUT A HANDLE),食事の前にコップを準備します。,Siapkan gelas (drinking cup without a handle) sebelum makan.,食事介助ではコップを安全に使います。,"Saat membantu makan, gunakan gelas (drinking cup without a handle) dengan aman."
Ruang Makan & Alat Makan,湯呑,ゆのみ,"CANGKIR (CAWAN), TEACUP WITHOUT A HANDLE",食事の前に湯呑を準備します。,"Siapkan cangkir (cawan), teacup without a handle sebelum makan.",食事介助では湯呑を安全に使います。,"Saat membantu makan, gunakan cangkir (cawan), teacup without a handle dengan aman."
Ruang Makan & Alat Makan,皿,さら,PIRING,食事の前に皿を準備します。,Siapkan piring sebelum makan.,食事介助では皿を安全に使います。,"Saat membantu makan, gunakan piring dengan aman."
Ruang Makan & Alat Makan,箸,はし,SUMPIT,食事の前に箸を準備します。,Siapkan sumpit sebelum makan.,食事介助では箸を安全に使います。,"Saat membantu makan, gunakan sumpit dengan aman."
Ruang Makan & Alat Makan,箸置き,はしおき,TATAKAN SUMPIT,食事の前に箸置きを準備します。,Siapkan tatakan sumpit sebelum makan.,食事介助では箸置きを安全に使います。,"Saat membantu makan, gunakan tatakan sumpit dengan aman."
Ruang Makan & Alat Makan,スプーン,,SENDOK,食事の前にスプーンを準備します。,Siapkan sendok sebelum makan.,食事介助ではスプーンを安全に使います。,"Saat membantu makan, gunakan sendok dengan aman."
Ruang Makan & Alat Makan,フォーク,,GARPU,食事の前にフォークを準備します。,Siapkan garpu sebelum makan.,食事介助ではフォークを安全に使います。,"Saat membantu makan, gunakan garpu dengan aman."
Ruang Makan & Alat Makan,炊飯器,すいはんき,RICE COOKER,食事の前に炊飯器を準備します。,Siapkan rice cooker sebelum makan.,食事介助では炊飯器を安全に使います。,"Saat membantu makan, gunakan rice cooker dengan aman."
Ruang Makan & Alat Makan,杓文字,しゃもじ,CENTONG NASI,食事の前に杓文字を準備します。,Siapkan centong nasi sebelum makan.,食事介助では杓文字を安全に使います。,"Saat membantu makan, gunakan centong nasi dengan aman."
Ruang Makan & Alat Makan,薬缶,やかん,TEKO AIR PANAS,食事の前に薬缶を準備します。,Siapkan teko air panas sebelum makan.,食事介助では薬缶を安全に使います。,"Saat membantu makan, gunakan teko air panas dengan aman."
Ruang Makan & Alat Makan,鍋,なべ,PANCI,食事の前に鍋を準備します。,Siapkan panci sebelum makan.,食事介助では鍋を安全に使います。,"Saat membantu makan, gunakan panci dengan aman."
Ruang Makan & Alat Makan,調味料,ちょうみりょう,BUMBU,食事の前に調味料を準備します。,Siapkan bumbu sebelum makan.,食事介助では調味料を安全に使います。,"Saat membantu makan, gunakan bumbu dengan aman."
Ruang Makan & Alat Makan,エプロン,,"APRON, CELEMEK",食事の前にエプロンを準備します。,"Siapkan apron, celemek sebelum makan.",食事介助ではエプロンを安全に使います。,"Saat membantu makan, gunakan apron, celemek dengan aman."
Ruang Makan & Alat Makan,食札,しょくさつ,LABEL MAKANAN,食事の前に利用者の食札を確認します。,"Sebelum makan, periksa label makanan pengguna layanan.",食札を見て、食事の内容を確認します。,Lihat label makanan untuk memastikan isi makanan.
Ruang Makan & Alat Makan,主食,しゅしょく,MAKANAN POKOK,利用者に主食を提供します。,Sajikan makanan pokok kepada pengguna layanan.,主食の量が適切か確認します。,Periksa apakah jumlah makanan pokok sesuai.
Ruang Makan & Alat Makan,主菜,しゅさい,HIDANGAN UTAMA,今日の主菜を確認します。,Periksa hidangan utama hari ini.,利用者に主菜を提供します。,Sajikan hidangan utama kepada pengguna layanan.
Ruang Makan & Alat Makan,副菜 (副食),ふくさい (ふくさい),LAUK,副菜を主食と一緒に提供します。,Sajikan lauk bersama makanan pokok.,利用者が副菜を食べやすいように準備します。,Siapkan lauk agar mudah dimakan oleh pengguna layanan.
Ruang Makan & Alat Makan,汁物,しるもの,SUP / HIDANGAN BERKUAH,汁物は熱すぎないか確認します。,Periksa apakah sup tidak terlalu panas.,利用者に汁物をゆっくり提供します。,Sajikan sup kepada pengguna layanan secara perlahan.
Ruang Makan & Alat Makan,配膳車,はいぜんしゃ,KERETA MAKANAN,配膳車に食事を載せます。,Letakkan makanan di kereta makanan.,配膳車を安全に押して食堂へ運びます。,Dorong kereta makanan dengan aman menuju ruang makan.
Ruang Makan & Alat Makan,ミキサー,,"MIXER, BLENDER",食事の前にミキサーを準備します。,"Siapkan mixer, blender sebelum makan.",食事介助ではミキサーを安全に使います。,"Saat membantu makan, gunakan mixer, blender dengan aman."
Ruang Makan & Alat Makan,おしぼり,,LAP TANGAN BASAH,食事の前におしぼりを準備します。,Siapkan lap tangan basah sebelum makan.,食事介助ではおしぼりを安全に使います。,"Saat membantu makan, gunakan lap tangan basah dengan aman."
Ruang Makan & Alat Makan,布巾,ふきん,SERBET,食事の前に布巾を準備します。,Siapkan serbet sebelum makan.,食事介助では布巾を安全に使います。,"Saat membantu makan, gunakan serbet dengan aman."
Bagian Toilet,トイレ,,TOILET,トイレ介助の前にトイレを準備します。,Siapkan toilet sebelum membantu pengguna layanan ke toilet.,利用者が安全に使えるようにトイレを確認します。,Periksa toilet agar dapat digunakan dengan aman oleh pengguna layanan.
Bagian Toilet,トイレットペーパー,,TISU TOILET,トイレ介助の前にトイレットペーパーを準備します。,Siapkan tisu toilet sebelum membantu pengguna layanan ke toilet.,利用者が安全に使えるようにトイレットペーパーを確認します。,Periksa tisu toilet agar dapat digunakan dengan aman oleh pengguna layanan.
Bagian Toilet,手すり,てすり,PEGANGAN TANGAN / HANDRAIL,トイレ介助の前に手すりを準備します。,Siapkan pegangan tangan / handrail sebelum membantu pengguna layanan ke toilet.,利用者が安全に使えるように手すりを確認します。,Periksa pegangan tangan / handrail agar dapat digunakan dengan aman oleh pengguna layanan.
Bagian Toilet,便器,べんき,WC DUDUK,トイレ介助の前に便器を準備します。,Siapkan wc duduk sebelum membantu pengguna layanan ke toilet.,利用者が安全に使えるように便器を確認します。,Periksa wc duduk agar dapat digunakan dengan aman oleh pengguna layanan.
Bagian Toilet,便座,べんざ,DUDUKAN WC,トイレ介助の前に便座を準備します。,Siapkan dudukan wc sebelum membantu pengguna layanan ke toilet.,利用者が安全に使えるように便座を確認します。,Periksa dudukan wc agar dapat digunakan dengan aman oleh pengguna layanan.
Bagian Toilet,おむつ交換車,おむつこうかんしゃ,MEJA DORONG PENGGANTI POPOK,トイレ介助の前におむつ交換車を準備します。,Siapkan meja dorong pengganti popok sebelum membantu pengguna layanan ke toilet.,利用者が安全に使えるようにおむつ交換車を確認します。,Periksa meja dorong pengganti popok agar dapat digunakan dengan aman oleh pengguna layanan.
Bagian Toilet,汚物入れ,おぶついれ,TEMPAT SAMPAH WADAH KOTORAN,トイレ介助の前に汚物入れを準備します。,Siapkan tempat sampah wadah kotoran sebelum membantu pengguna layanan ke toilet.,利用者が安全に使えるように汚物入れを確認します。,Periksa tempat sampah wadah kotoran agar dapat digunakan dengan aman oleh pengguna layanan.
Bagian Toilet,シャワーボトル,,BOTOL MANDI,トイレ介助の前にシャワーボトルを準備します。,Siapkan botol mandi sebelum membantu pengguna layanan ke toilet.,利用者が安全に使えるようにシャワーボトルを確認します。,Periksa botol mandi agar dapat digunakan dengan aman oleh pengguna layanan.
Bagian Toilet,パッド,,PEMBALUT,トイレ介助の前にパッドを準備します。,Siapkan pembalut sebelum membantu pengguna layanan ke toilet.,利用者が安全に使えるようにパッドを確認します。,Periksa pembalut agar dapat digunakan dengan aman oleh pengguna layanan.
Bagian Toilet,紙おむつ,かみおむつ,POPOK SEKALI PAKAI,トイレ介助の前に紙おむつを準備します。,Siapkan popok sekali pakai sebelum membantu pengguna layanan ke toilet.,利用者が安全に使えるように紙おむつを確認します。,Periksa popok sekali pakai agar dapat digunakan dengan aman oleh pengguna layanan.
Bagian Toilet,尿器,にょうき,PISPOT. URINE BOTTLE,トイレ介助の前に尿器を準備します。,Siapkan pispot. urine bottle sebelum membantu pengguna layanan ke toilet.,利用者が安全に使えるように尿器を確認します。,Periksa pispot. urine bottle agar dapat digunakan dengan aman oleh pengguna layanan.
Bagian Toilet,ポータブルトイレ,,TOILET PORTABEL,トイレ介助の前にポータブルトイレを準備します。,Siapkan toilet portabel sebelum membantu pengguna layanan ke toilet.,利用者が安全に使えるようにポータブルトイレを確認します。,Periksa toilet portabel agar dapat digunakan dengan aman oleh pengguna layanan.
Bagian Toilet,ナースコール,,"ALAT PEMANGGIL PERAWAT, NURSE CALL",トイレ介助の前にナースコールを準備します。,Siapkan alat pemanggil perawat sebelum membantu pengguna layanan ke toilet.,利用者が安全に使えるようにナースコールを確認します。,Periksa alat pemanggil perawat agar dapat digunakan dengan aman oleh pengguna layanan.
